ans_str,query_str,idx_of_ans,idx_of_qns
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;","What documents can I use to show that I have recovered from COVID-19 for travel purposes?",899,904
"Individuals who are fully-vaccinated in Singapore may obtain a digital vaccination certificate (‘Vaccination HealthCert’). The requirements to be considered fully-vaccinated can be found at this link . Digital vaccination certificates are not issued for vaccinations done overseas. For Singpass users Singpass users can obtain their Vaccination HealthCerts by logging in to the Notαrise portal using their Singpass app or Singpass credentials. Upon successful application, the digital vaccination certificate will be sent to the user’s email and Singpass app in approximately 15 minutes. Those eligible for a Singpass account can register for a Singpass account here. Users will be able to access the relevant vaccination records the day after creation of your Singpass account. For Long-term Pass holders Long-term Pass holders will need a valid pass to obtain their Vaccination HealthCert using their Singpass app or Singpass credentials. Long-term pass holders are recommended to obtain their Vaccination HealthCert early, as they will lose access to Singpass upon expiry or cancellation of their pass. If your pass was canceled after 22 Feb 2022, you are given a grace period of 3 months after pass cancellation to obtain your Vaccination HealthCert using your Singpass app or Singpass credentials. For people who are not eligible for Singpass People who are not eligible for a Singpass account, or whose pass has expired and no longer have access to Singpass, may obtain their Vaccination HealthCert from Notαrise using their passport number and dates of vaccination recorded in the NIR.&nbsp; If your vaccination records were tagged to your FIN number which you no longer have, you may need to submit a request to associate your records to you passport number at https://go.gov.sg/health-cert-query . Processing time for the query is about 2–4 weeks.","Who can obtain the digital vaccination certificate (‘Vaccination HealthCert’) for travel overseas?",869,874
"People who are eligible for their booster dose will be progressively invited to be vaccinated, from five months after their second dose. When it is your turn, an SMS with a personalised booking link will be sent to the mobile number that you had registered with for your first two doses. Please use it to book an appointment for the booster here . Alternatively, if you are between 18 and 59 years old, and have completed your primary series vaccination, you may walk in without an appointment, to any Vaccination Centre offering an mRNA COVID-19 vaccine, from Mondays to Thursdays before 7pm, to receive your booster dose. If you are 60 years old and above, and have completed the last dose of your primary series vaccination, you may also walk into any of the participating Public Health Preparedness Clinics (PHPCs) or Polyclinics, to receive your booster dose without an appointment. You may also walk in to any vaccination centre, any day before 7pm to receive your booster dose, without an appointment. If you would like to go to a PHPC, you are advised to call the respective clinics for enquiries on the vaccination cut-off time for your preferred date, as operating hours may vary.","When and how can I register for my booster dose?",847,852
"Fully vaccinated persons who are recommended to receive a booster dose, are considered “fully vaccinated” for the purpose of vaccine-differentiated safe management measures (VDS) for 270 days after the last dose of their primary vaccination series. They should receive their booster vaccination* to maintain the fully vaccinated status beyond the 270 days. This requirement will apply from 14 February 2022 for those aged 18 and above, and from 14 March 2022 for those aged 12-17 years old. If your vaccination status is not accurately reflected, you may raise your query at https://go.gov.sg/vds-query-form.&nbsp; *Based on the Expert Committee on COVID-19 Vaccination recommendations, the booster vaccination should be received at around five months after the last dose in their primary vaccination series (or three months for those who received the Sinovac-CoronaVac or Sinopharm vaccine as their third vaccine dose as part of a three-dose primary vaccination series).","Will the booster dose affect my vaccination status?",844,849
"The default is yes. A booster dose will confer longer protection. As recommended by the Expert Committee on COVID-19 Vaccination (EC19V), it is safe for persons who have recovered from COVID-19 to receive a booster dose. Get your booster 90 days or more after the infection. You may receive your next vaccine dose 28 days after infection, although you are recommended to do so three months from the infection for better effectiveness.","I am self-tested as ART+ after two mRNA vaccine doses, should I still get my booster?",893,898
"All individuals who have been vaccinated overseas with any vaccines approved under the WHO Emergency Use Listing (EUL), including booster shots, can get their overseas vaccination records ingested into the National Immunisation Registry (NIR). This includes Singaporean Citizens (SC), Singapore Permanent Residents (PR), Long-Term Pass Holders (LTPH) (e.g. Long-Term Visitor Pass, Work Permit, Employment Pass, S Pass, Dependent Pass, Student Pass) and Short-Term Pass Holders (STPH). For STPHs, this would only be relevant to those who intend to stay in Singapore for more than 30 days. You may call ahead to any clinic to check if they provide such services. You can also refer to phpc.gov.sg for a listing of clinics who may provide such services; please call ahead to check. The full cost of the service will be borne by the individual. If their overseas vaccination documents are not in English, they will need to get the documents translated by a translation service provider, notary public or embassy of the country that issued the document. Both the original overseas vaccination document and translated document must be brought along when visiting a private healthcare provider in Singapore for serology testing. After arriving in Singapore, the individual will need to visit a healthcare provider who will do the following:  Review the individual’s overseas vaccination documentation - either the original hard copy vaccination certificate or digital vaccination certificate (with translated document where applicable). Perform a serology test. If you have a digitally verifiable vaccination certificate, you may not need to take a serology test (see subsequent questions for details). Update the individual’s overseas COVID-19 vaccination record(s) to NIR as long as the individual (i) has overseas COVID-19 vaccination documentation, and (ii) whose serology test result is positive. Individuals will see their vaccinations status on TraceTogether or HealthHub app within 24 hours after clinic has notified NIR of their overseas COVID-19 vaccination records.","Who can get their overseas COVID-19 vaccination records ingested into the National Immunisation Registry (NIR) and what must they do?",855,860
"Individuals aged 12 years and older are recommended to receive a booster dose from about five months after the last dose of their primary vaccination series*, or as soon as possible thereafter, in order to maintain good protection against COVID-19.&nbsp; Individuals aged 12-17 years are recommended to receive a booster dose of a Pfizer-BioNTech/Comirnaty vaccine, while individuals aged 18 years and older are recommended to receive a booster dose of either the Pfizer-BioNTech/Comirnaty vaccine or the Moderna/Spikevax vaccine- under the National Vaccination Programme. For those who received the Sinovac-CoronaVac vaccine as their third vaccine dose as part of a three-dose primary vaccination series incorporating the Sinovac-CoronaVac vaccines, they should receive a booster dose of a mRNA vaccine under the National Vaccination Programme earlier - from three months after the third dose of the vaccine, due to lower antibody levels generated by the third vaccine dose. This booster dose should not be delayed beyond nine months after the primary vaccine course. Persons who had recovered from COVID-19 infection and completed the recommended COVID-19 vaccination may receive a booster vaccination. It is safe for them and may provide additional protection. They may receive their next vaccine dose 28 days after infection, although they are recommended to do so three months from the infection and around five months after the last dose of their primary vaccination series (whichever is later) for better effectiveness. *The primary vaccine course may comprise of either:  Two doses of either the Pfizer-BioNTech/Comirnaty or the Moderna/Spikevax COVID-19 vaccine; Two or more doses of the Sinovac-CoronaVac vaccines as part of a three-dose primary vaccination series; or A complete primary vaccination regimen of other WHO EUL vaccines.    Note: Recommendations for Sinovac-CoronaVac will apply to Sinopharm as well.","Who should receive a booster?",846,851
"Persons who had received two or more doses of the Sinovac-CoronaVac* COVID-19 vaccines as part of a three-dose primary vaccination series are recommended to receive a booster dose of either the Pfizer-BioNTech / Comirnaty or Moderna/Spikevax mRNA vaccines, unless medically ineligible for the mRNA vaccine. Such persons who received an mRNA vaccine as their third dose should receive the booster dose about five months thereafter. However, those who received the Sinovac-CoronaVac vaccine as their third vaccine dose should do so at three months thereafter, due to lower antibody levels generated by the third vaccine dose. Persons who were fully vaccinated with other WHO EUL vaccines are also recommended to receive a booster dose of an mRNA vaccine about five months after completion of their primary series vaccination. *Recommendations for Sinovac-Coronavac should similarly apply to Sinopharm","Should persons who had completed the Sinovac-CoronaVac vaccine three dose primary series receive a booster? What booster should they receive?",850,855
"No, you do not need to restart your primary vaccination series. You should receive the booster dose as soon as possible for optimal protection. Upon receiving your booster, you will be considered as fully vaccinated.","Do I need to restart my primary vaccination series if I did not receive my booster within 270 days after the last dose in my primary series?",852,857
"Persons who had recovered from COVID-19 and were fully vaccinated before their infection are considered to have completed their primary series. Persons who have not completed their primary vaccination series before recovering from a COVID-19 infection, are recommended to receive a single dose of an mRNA vaccine. If you are due for your vaccination based on the schedules recommended in the national vaccination programme (e.g. to receive a booster dose about 5 months after two doses of mRNA vaccines), you may receive your next vaccine dose 28 days after infection, although you are recommended to do so three months from the infection for better effectiveness.","I have recovered from a COVID-19 infection and have an official record of the infection. Can I take my COVID-19 vaccine now?",901,906
