ans_str,query_str,ans_str_span,idx_of_ans,idx_of_qns
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what does moh not issue when vaccinated?,separate recovery memos,0,187
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",why do all travellers have to refer to relevant destinations' border measure requirements before their trip?,who are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries,0,188
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what does moh not issue for persons with covid-19?,separate recovery memos,0,189
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",who can get the results of covid-19 on their self-administered art?,check a combined test centre (ctc) or quick test centre (qtc) to undergo a supervised art and have their results documented,0,190
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",when can people who seek a medical treatment done for their self-administered art be vaccinated and recently recovered?,"within 7 u2013 90 days before their trip to singapore,",0,191
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what is the method used to describe the process to test positive covid-19?,maximum test centre,0,192
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",do the people who visit a combined test centre or qtc for their self-administered art test results have their results documented?,separate test centre (ctc) or quick test centre (qtc),0,193
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what do travellers need to do to ensure their travel plans?,for ensuring that they fulfil the border measure requirements of their destination countries,0,194
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what is the name of the process of obtaining supervised art in singapore?,pcr test result,0,195
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what are travellers responsible for in order for ensuring their destination countries meet border measures?,ensuring that they fulfil the border measure requirements of their destination countries,0,196
